tweet_id,tweet,class
2508644856,ughh . these new birth control pillz making my boobies tender  .... anything to not get me pregnant LMAO but then again I ain't active =P,1
2508644856,ughh . these new birth control pillz making my boobies tender  .... anything to not get me pregnant LMAO but then again I ain't active =P,1
12350607160,CaptSaveAnigga thats why you gave me them pillz dummy. So i wont get pregnant. Lol,1
10556330034,"RT Marri3d2Mon3y  
  
Bday is in 5 days wat should I do?<< Smoke sum crack pop sum pillz n get sum1 pregnant LoL!!!!!!!!!!!!",1
8345012700,RT BaDnEwZ_PiLLZ: RT iiampurplediva  I'm starving n Im cravin sum cereal .. WTF =\<pregnant allready <~ ROTMFF LMMFAOOOOOOOOO,1
7901328819,WHYYOUATSCHOOL: poppin pillz and you 5 muntz pregnant ....sad shit,1
7837163575,"So lastnight in the club there was a pregnant girl off liquor 
& pillz that got mad when i didnt wanna fuck with her aha!",1
6885011501,LIAR! supadupaepicFAIL RT MoNeCoVrGuH: RT nicknamestink: I'm eatn lik a damn pregnant woman 2nite!<U r.I switched out ur pillz hehe,1
6884988892,RT nicknamestink: I'm eatn lik a damn pregnant woman 2nite!<U r.I switched out ur pillz hehe,1
5864782937,RT BONES_BONES: justbecause:U ON DEPO:PIllz:the patch & the nuva ring doesnt mean that u cant get pregnant!<~True cuz I has twins on BC,1
5100530081,You 17yrs old pregnant and pop pillz and drinking CMONBITCH WhereTheyDoThatAt,1
12350607160,CaptSaveAnigga thats why you gave me them pillz dummy. So i wont get pregnant. Lol,1
10556330034,"RT Marri3d2Mon3y  
  
Bday is in 5 days wat should I do?<< Smoke sum crack pop sum pillz n get sum1 pregnant LoL!!!!!!!!!!!!",1
8345012700,RT BaDnEwZ_PiLLZ: RT iiampurplediva  I'm starving n Im cravin sum cereal .. WTF =\<pregnant allready <~ ROTMFF LMMFAOOOOOOOOO,1
7901328819,WHYYOUATSCHOOL: poppin pillz and you 5 muntz pregnant ....sad shit,1
7837163575,"So lastnight in the club there was a pregnant girl off liquor 
& pillz that got mad when i didnt wanna fuck with her aha!",1
6885011501,LIAR! supadupaepicFAIL RT MoNeCoVrGuH: RT nicknamestink: I'm eatn lik a damn pregnant woman 2nite!<U r.I switched out ur pillz hehe,1
6884988892,RT nicknamestink: I'm eatn lik a damn pregnant woman 2nite!<U r.I switched out ur pillz hehe,1
5864782937,RT BONES_BONES: justbecause:U ON DEPO:PIllz:the patch & the nuva ring doesnt mean that u cant get pregnant!<~True cuz I has twins on BC,1
