tweet_id,tweet,class
13991018002,"tanned and bleaching hair today. Also, took an antacid. All I nned to is NOT BE pregnant. :) My OB hates me.",1
5272744638,"lccarson okay, that is true. i forgive you. i thought about the antacid - pregnant woman connection too.",1
13991018002,"tanned and bleaching hair today. Also, took an antacid. All I nned to is NOT BE pregnant. :) My OB hates me.",1
5272744638,"lccarson okay, that is true. i forgive you. i thought about the antacid - pregnant woman connection too.",1
911502191,"I know my cold is fading, I'm feeling pregnant again. hahaha *eats a rennie* (antacid lol)",1
911502191,"I know my cold is fading, I'm feeling pregnant again. hahaha *eats a rennie* (antacid lol)",1
69051295562084352,*covers face* RT thnjoe: LMAOOO! RT nutylove: *sigh* I really needed dt antacid! Was beginning to feel like a pregnant whale!,1
69047725269860352,LMAOOO! RT nutylove: *sigh* I really needed dt antacid! Was beginning to feel like a pregnant whale!,1
69046833183330305,*sigh* I really needed dt antacid! Was beginning to feel like a pregnant whale!,1
51222202162483200,Rennie Soft Chews Antacid http://honestshopper.blogspot.com/2011/03/rennie-soft-chews-antacid.html?spref=tw (I'm pregnant & get lots of heartburn. Here's me trying out one treatment.),1
47534269467344896,Dr. Gott: Sorbitol can be cause of hives: I had been taking an antacid for heartburn when I was pregnant and had... http://bit.ly/gQNGil,1
69051295562084352,*covers face* RT thnjoe: LMAOOO! RT nutylove: *sigh* I really needed dt antacid! Was beginning to feel like a pregnant whale!,1
69047725269860352,LMAOOO! RT nutylove: *sigh* I really needed dt antacid! Was beginning to feel like a pregnant whale!,1
69046833183330305,*sigh* I really needed dt antacid! Was beginning to feel like a pregnant whale!,1
51222202162483200,Rennie Soft Chews Antacid http://honestshopper.blogspot.com/2011/03/rennie-soft-chews-antacid.html?spref=tw (I'm pregnant & get lots of heartburn. Here's me trying out one treatment.),1
47534269467344896,Dr. Gott: Sorbitol can be cause of hives: I had been taking an antacid for heartburn when I was pregnant and had... http://bit.ly/gQNGil,1
4071713314,"Many pregnant moms suffer from nausea, and many take antacid. If taken middle of night don't forget to rinse your mouth out.",1
2122044333,craftifish I had the same problem when I was pregnant.  I had to get a prescription strength antacid.  It made life SOOO much more pleasant,1
1438917961,"kwidrick ugh, me too. awful stuff. But if you're pregnant and have heartburn and can't take antacid: celery. true story.",1
4071713314,"Many pregnant moms suffer from nausea, and many take antacid. If taken middle of night don't forget to rinse your mouth out.",1
