tweet_id,tweet,class
404789582585024512,Ima take like 4 Xanz and get somebody daughter pregnant....,1
348857137289646081,"How she gon say she was pregnant & her baby was born too small but her nigga was poppin xanz, smokin weed & drinkin... somethings missing.",1
404789582585024512,Ima take like 4 Xanz and get somebody daughter pregnant....,1
348857137289646081,"How she gon say she was pregnant & her baby was born too small but her nigga was poppin xanz, smokin weed & drinkin... somethings missing.",1
1024093254965448704,"Told Myyaun i was Pregnant this Nigga Said See them Xanz, same shit happened to me",1
1024093254965448704,"Told Myyaun i was Pregnant this Nigga Said See them Xanz, same shit happened to me",1
1088314694362906624,When I got pregnant I stopped smoking n doing xanz ever since Ive been sober ! Proud of myself ,1
1088314694362906624,When I got pregnant I stopped smoking n doing xanz ever since Ive been sober ! Proud of myself ,1
641821953167372288,Lmfao how's this pregnant bitch about to pop chillen with people blowin down yay and xanz lmfao,1
607596786765713408,IM A FAMILY MAN THOUGHT I GOT YA PREGNANT IN YA FAMILY VAN. PULL UP PULL OUT A WHOLE FAM OF XANZ,1
593472081414778881,Girls getting pregnant cuz these niggas fucking off the xanz & falling asleep in the pussy,1
641821953167372288,Lmfao how's this pregnant bitch about to pop chillen with people blowin down yay and xanz lmfao,1
607596786765713408,IM A FAMILY MAN THOUGHT I GOT YA PREGNANT IN YA FAMILY VAN. PULL UP PULL OUT A WHOLE FAM OF XANZ,1
593472081414778881,Girls getting pregnant cuz these niggas fucking off the xanz & falling asleep in the pussy,1
858763007119302657,Idk why pregnant hoes stay tryna smoke drink or pop some xanz dopey ass bitches,1
833870003598479360,This bitch is pregnant asf tryna sell xanz on FB  wtf,1
788436488207732736,"cause coke, xanz and shit don't get you pregnant https://twitter.com/alleeseymour/status/788435825956573184",1
858763007119302657,Idk why pregnant hoes stay tryna smoke drink or pop some xanz dopey ass bitches,1
833870003598479360,This bitch is pregnant asf tryna sell xanz on FB  wtf,1
788436488207732736,"cause coke, xanz and shit don't get you pregnant https://twitter.com/alleeseymour/status/788435825956573184",1
932812097515274241,If you hoes popped birth control like yall pop molly and xanz then none of you girls would be getting pregnant,1
919261749580304385,"People are So quick to say ""who ain't pregnant?"" Well who ain't poppin xanz, sippin lean, smoking and drinkin all day? I'll wait.",1
932812097515274241,If you hoes popped birth control like yall pop molly and xanz then none of you girls would be getting pregnant,1
