tweet_id,tweet,class
2748070662,"Being sent to Kroger for ""Chocolate n shit."" Pregnant wives are so.......hungry. Oh well, at least it's not raining or 3 A.M.",1
1923402610,who knew that the hydro company was a serial rapist and I was it's only victim... I might be pregnant with Hydro's child. do I keep it?,1
1530796276,"Since the wife is pregnant with our 2nd, we decided to celebrate by watching Knocked Up. That film is funnier every time I see it.",1
2748070662,"Being sent to Kroger for ""Chocolate n shit."" Pregnant wives are so.......hungry. Oh well, at least it's not raining or 3 A.M.",1
1923402610,who knew that the hydro company was a serial rapist and I was it's only victim... I might be pregnant with Hydro's child. do I keep it?,1
1530796276,"Since the wife is pregnant with our 2nd, we decided to celebrate by watching Knocked Up. That film is funnier every time I see it.",1
1050401987,"We're looking for Super Heroes in these tough economic times. Top ""How To"" searches in India--lose weight, kiss, earn money, & get pregnant!",1
1050401987,"We're looking for Super Heroes in these tough economic times. Top ""How To"" searches in India--lose weight, kiss, earn money, & get pregnant!",1
14744958637,RT Hydro_Skull_Hot I Love 16 Nd Pregnant <-o_O why?? Lol,1
14389692202,it's like if purple urple & chronic tag teamed hydro...then hydro got pregnant and had a baby. but hydro don't know who the baby daddy is.,1
9893384657,yeah well if you're 4 months pregnant and come into class trippin on hydros then someone's bound to tell your mother you dumb bitch,1
5189964156,icandiknits We were in a scary accident too when I was just a few days pregnant. We drove into a hydro pole. clothdiapers,1
4315129590,Everybody who works for Hydro One have mothers who smoked copius amounts of the yellow rock while pregnant.,1
14744958637,RT Hydro_Skull_Hot I Love 16 Nd Pregnant <-o_O why?? Lol,1
14389692202,it's like if purple urple & chronic tag teamed hydro...then hydro got pregnant and had a baby. but hydro don't know who the baby daddy is.,1
9893384657,yeah well if you're 4 months pregnant and come into class trippin on hydros then someone's bound to tell your mother you dumb bitch,1
5189964156,icandiknits We were in a scary accident too when I was just a few days pregnant. We drove into a hydro pole. clothdiapers,1
4315129590,Everybody who works for Hydro One have mothers who smoked copius amounts of the yellow rock while pregnant.,1
23457674024722432,Another bitch lying about being pregnant,1
21980710252322816,"RT Hydro_Fameboy: Stomach cramps, y? Fuck I hate this http://myloc.me/g4DdU *mayb u pregnant* hahahahaha",1
20991213486219264,Cody who are you pregnant by?,1
20989452998410240,Ur pregnant order soemthing and get jay to beat up the pizza man like he did that guy last week for no reason,1
17399489950130176,Oh yeah you call me a whore who was the 16 year old dating and fucking 20 year olds and thinking shes pregnant,1
10127886224719872,Need to leave my hydro grow for 1-4 days: My girlfriend is very pregnant right now and could go into labor at an... http://bit.ly/ed9NoH,1
24329659647,"Very hot/humid summer, pregnant lady & new tax (HST) makes for a summer hydro bill twice as  big as usual",1
22835833003,And it was S6. RT Aalliya23: CK61938 she was pregnant during the S7 episode.. Hydro I think it was,1
22835794353,"Ah, that explains it then. RT Aalliya23: CK61938 she was pregnant during the S7 episode.. Hydro I think it was",1
22835712661,CK61938 she was pregnant during the S7 episode.. Hydro I think it was,1
20438948242,Well the red hydro won. Evil bastard. And the Moose just motorboated a pregnant chick. MooseFail Mariners,1
17911385800,ottawasuncom Stittsville still without power. Hour 5. Hydro does not have Stittsville on outage list and its is HOT - angry pregnant lady,1
17911086808,ottawa hydro you rat fucks. My power has been out for 5 hours in 44 degree weather. -angry pregnant lady,1
23457674024722432,Another bitch lying about being pregnant,1
21980710252322816,"RT Hydro_Fameboy: Stomach cramps, y? Fuck I hate this http://myloc.me/g4DdU *mayb u pregnant* hahahahaha",1
20991213486219264,Cody who are you pregnant by?,1
20989452998410240,Ur pregnant order soemthing and get jay to beat up the pizza man like he did that guy last week for no reason,1
17399489950130176,Oh yeah you call me a whore who was the 16 year old dating and fucking 20 year olds and thinking shes pregnant,1
10127886224719872,Need to leave my hydro grow for 1-4 days: My girlfriend is very pregnant right now and could go into labor at an... http://bit.ly/ed9NoH,1
24329659647,"Very hot/humid summer, pregnant lady & new tax (HST) makes for a summer hydro bill twice as  big as usual",1
22835833003,And it was S6. RT Aalliya23: CK61938 she was pregnant during the S7 episode.. Hydro I think it was,1
22835794353,"Ah, that explains it then. RT Aalliya23: CK61938 she was pregnant during the S7 episode.. Hydro I think it was",1
22835712661,CK61938 she was pregnant during the S7 episode.. Hydro I think it was,1
20438948242,Well the red hydro won. Evil bastard. And the Moose just motorboated a pregnant chick. MooseFail Mariners,1
17911385800,ottawasuncom Stittsville still without power. Hour 5. Hydro does not have Stittsville on outage list and its is HOT - angry pregnant lady,1
17911086808,ottawa hydro you rat fucks. My power has been out for 5 hours in 44 degree weather. -angry pregnant lady,1
126745305034129408,& when you get out of jail ill have ya 2 putas pregnant ! lmao - Sandro rhymes like hydro,1
124898481012883456,"Green paper, gold teeth and pregnant gold retrievers
All I want, fuck money, diamonds and bitches, don't need 'em",1
114113601563926528,"ok_hydro how about ""16 and pregnant""..ever watch that?",1
110529186082463744,OK_Hydro I went through therapy to work through my son's Hydrocephalus dx. Having to recall a lot of it now that I'm pregnant again!,1
105034617433755648,being pregnant is so tiring and stuff. lol but i love my little dexter,1
97811440869715968,You probably shouldnt give pregnant women hydro 5's.. Dumb doctors.. They like making me high.,1
83389591603785728,She juss call my phone told me she mite be pregnant i said ok koo but i aint yo bby daddy my rubber didnt bust bitch i was checkin lol,1
78313525499531264,"Beeej3 car hydro planed under bus, no casualties, driver was 7 months pregnant. Airlifted to van. Bunch of broken bones.",1
75576772065894400,RT LFPress:London Hydro threatens disconnection after hospitalized pregnant woman misses one payment http://bit.ly/l7EA4a talkaboutnoclass,1
75536372055801856,Pay your bills! RT LFPress: London Hydro threatens disconnection after hospitalized pregnant woman misses one payment http://bit.ly/l7EA4a,1
75528700896096256,Classy! RT LFPress: SCOOP: London Hydro threatens disconnection after hospitalized pregnant woman misses 1 payment http://bit.ly/l7EA4a,1
75528331088506880,YOUR SCOOP: London Hydro threatens disconnection after hospitalized pregnant woman misses one payment http://bit.ly/l7EA4a,1
65635849152372736,"exciting news for all my followers, i'm pregnant!!!!",1
64486949167177728,Nique_Cold  juss told me if she was Pregnant an i ws in da brib playn da game she would walk around wit her belly out LMFAOOO Dammm,1
126745305034129408,& when you get out of jail ill have ya 2 putas pregnant ! lmao - Sandro rhymes like hydro,1
124898481012883456,"Green paper, gold teeth and pregnant gold retrievers
All I want, fuck money, diamonds and bitches, don't need 'em",1
114113601563926528,"ok_hydro how about ""16 and pregnant""..ever watch that?",1
110529186082463744,OK_Hydro I went through therapy to work through my son's Hydrocephalus dx. Having to recall a lot of it now that I'm pregnant again!,1
105034617433755648,being pregnant is so tiring and stuff. lol but i love my little dexter,1
97811440869715968,You probably shouldnt give pregnant women hydro 5's.. Dumb doctors.. They like making me high.,1
83389591603785728,She juss call my phone told me she mite be pregnant i said ok koo but i aint yo bby daddy my rubber didnt bust bitch i was checkin lol,1
78313525499531264,"Beeej3 car hydro planed under bus, no casualties, driver was 7 months pregnant. Airlifted to van. Bunch of broken bones.",1
75576772065894400,RT LFPress:London Hydro threatens disconnection after hospitalized pregnant woman misses one payment http://bit.ly/l7EA4a talkaboutnoclass,1
75536372055801856,Pay your bills! RT LFPress: London Hydro threatens disconnection after hospitalized pregnant woman misses one payment http://bit.ly/l7EA4a,1
75528700896096256,Classy! RT LFPress: SCOOP: London Hydro threatens disconnection after hospitalized pregnant woman misses 1 payment http://bit.ly/l7EA4a,1
75528331088506880,YOUR SCOOP: London Hydro threatens disconnection after hospitalized pregnant woman misses one payment http://bit.ly/l7EA4a,1
65635849152372736,"exciting news for all my followers, i'm pregnant!!!!",1
